,query,lat,lon,lat_min,lat_max,lon_min,lon_max
116,Oman,21.0000287,57.0036901,16.4649608,26.7026737,52,60.054577
117,Pakistan,30.3308401,71.247499,23.5393916,37.084107,60.872855,77.1203914
118,Panama,8.559559,-81.1308434,7.0338679,9.8701757,-83.0517245,-77.1585751
119,Papua New Guinea,-5.6816069,144.2489081,-11.8555739,-0.5573576,140.8416553,159.692724
120,Paraguay,-23.3165935,-58.1693445,-27.6063935,-19.2876472,-62.6406685,-54.258
121,Peru,-6.8699697,-75.0458515,-20.1984472,-0.0392818,-84.6356535,-68.6519906
122,Philippines,12.7503486,122.7312101,4.2158064,21.3217806,114.0952145,126.8072562
123,Poland,52.215933,19.134422,49.0020468,55.036025,14.0696389,24.145783
124,Polynesia,-16.31,-151.81,-16.31005,-16.30995,-151.81005,-151.80995
125,Portugal,40.0332629,-7.8896263,29.8288021,42.1543112,-31.5575303,-6.1891593
126,Puerto Rico,18.2214149,-66.4132818,17.9268695,18.5159789,-67.271492,-65.5897525
127,Qatar,25.3336984,51.2295295,24.4707534,26.3830212,50.5675,52.638011
128,Reunion,-21.13073795,55.53648011,-21.3897308,-20.8717411,55.2164268,55.8366924
129,Romania,45.9852129,24.6859225,43.618682,48.2654738,20.2619955,30.0454257
130,Rwanda,-1.9646631,30.0644358,-2.8397581,-1.0474083,28.861696,30.8990738
131,Saint Kitts and Nevis,17.250512,-62.6725973,16.895,17.6158146,-63.051129,-62.3303519
132,Saint Lucia,13.8250489,-60.975036,13.508,14.2725,-61.2853867,-60.6669363
133,Saint Vincent and the Grenadines,12.90447,-61.2765569,12.5166548,13.583,-61.6657471,-60.9094146
134,Samoa,-13.7693895,-172.1200508,-14.2770916,-13.2381892,-173.0091864,-171.1929229
135,Sao Tome and Principe,0.8875498,6.9648718,-0.2135137,1.9257601,6.260642,7.6704783
136,Saudi Arabia,25.6242618,42.3528328,16.29,32.1543377,34.4571718,55.6666851
137,Senegal,14.4750607,-14.4529612,12.2372838,16.6919712,-17.7862419,-11.3459408
138,Seychelles,-4.6574977,55.4540146,-10.4649258,-3.512,45.9988759,56.4979396
139,Sierra Leone,8.6400349,-11.8400269,6.755,9.999973,-13.5003389,-10.271683
140,Singapore,1.340863,103.8303918,1.2101324,1.4715641,103.6056259,104.0436413
141,Solomon Islands,-8.7053941,159.1071097,-13.2424298,-4.81085,155.3190556,170.3964667
142,Somalia,8.3676771,49.083416,-1.8031969,12.1889121,40.98918,51.6177696
143,South Africa,-28.8166236,24.991639,-47.1788335,-22.1250301,16.3335213,38.2898954
144,South Korea,36.638392,127.6961188,32.9104556,38.623477,124.3727348,132.1467806
145,Spain,39.3262345,-4.8380649,27.4335426,43.9933088,-18.3936845,4.5918885
146,Sri Lanka,7.5554942,80.7137847,5.719,10.035,79.3959205,82.0810141
147,Suriname,4.1413025,-56.0771187,1.8312802,6.225,-58.070833,-53.8433358
148,Swaziland,-26.5624806,31.3991317,-27.3175201,-25.71876,30.7908,32.1349923
149,Sweden,59.6749712,14.5208584,55.1331192,69.0599699,10.5930952,24.1776819
150,Switzerland,46.7985624,8.2319736,45.817995,47.8084648,5.9559113,10.4922941
151,Syria,34.6401861,39.0494106,32.311354,37.3184589,35.4714427,42.3751851
152,Tanzania,-6.5247123,35.7878438,-11.761254,-0.9854812,29.3269773,40.6584071
153,Thailand,14.8971921,100.83273,5.612851,20.4648337,97.3438072,105.636812
154,Togo,8.7800265,1.0199765,5.926547,11.1395102,-0.1439746,1.8087257
155,Tonga,-19.9160819,-175.2026424,-24.1034499,-15.3655722,-179.3866055,-173.5295458
156,Trinidad and Tobago,10.8677845,-60.9821067,9.8732106,11.5628372,-62.083056,-60.2895848
157,Tunisia,33.8439408,9.400138,30.229061,37.7612052,7.5219807,11.8801133
158,Turkey,38.9597594,34.9249653,35.8076804,42.297,25.6212891,44.8176638
159,Uganda,1.5333554,32.2166578,-1.4823179,4.2340766,29.573433,35.000308
160,United Arab Emirates,24.0002488,53.9994829,22.6316214,26.1517219,51.4160714,56.6024458
161,United Kingdom,54.7023545,-3.2765753,49.674,61.061,-14.015517,2.0919117
162,United States,39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
163,Uruguay,-32.8755548,-56.0201525,-35.7824481,-30.0853962,-58.4947729,-53.0755833
164,Vanuatu,-16.5255069,168.1069154,-20.4627425,-12.8713777,166.3355255,170.449982
165,Venezuela,8.0018709,-66.1109318,0.647529,15.9158431,-73.3529632,-59.5427079
166,Vietnam,13.2904027,108.4265113,7.8911481,23.3926918,102.14441,114.3338325
167,Wallis and Futuna,-14.30190495,-178.0899734,-14.5630748,-12.9827961,-178.3873749,-175.9190391
168,Yemen,16.3471243,47.8915271,11.9084802,19,41.60825,54.7389375
169,Zambia,-14.5186239,27.5599164,-18.0762145,-8.2749338,21.9993509,33.7095027
170,Zimbabwe,-18.4554963,29.7468414,-22.4241096,-15.6097033,25.2373,33.0683501
